month,date,hour,minute,second,in,out,cin,app
04,29,05,44,30,20,7,13,0.77
04,29,06,01,52,28,17,11,0.91
04,29,06,02,00,68,26,42,0.24
04,29,06,09,14,79,29,50,0.20
04,29,06,09,26,92,44,48,0.21
04,29,06,12,24,99,46,53,0.19
04,29,06,12,33,102,47,55,0.18
04,29,06,12,40,106,52,54,0.19
04,29,06,12,48,109,56,53,0.19
04,29,06,12,58,118,62,56,0.18
04,29,06,35,02,131,68,63,0.16
04,29,06,35,19,139,74,65,0.15
04,29,06,35,27,147,89,58,0.17
04,29,07,19,27,164,97,67,0.15
04,29,07,19,34,179,105,74,0.14
04,29,12,36,35,189,108,81,0.12
04,29,12,37,11,193,111,82,0.12
04,29,12,37,19,197,118,79,0.13
04,29,12,37,27,201,120,81,0.12
04,29,12,38,31,208,123,85,0.12
04,29,12,39,04,210,127,83,0.12
04,29,12,51,51,215,130,85,0.12
04,29,12,52,06,218,132,86,0.12
04,29,12,52,18,220,137,83,0.12
04,29,12,52,25,227,138,89,0.11
04,29,13,12,22,230,141,89,0.11
04,29,13,12,28,232,144,88,0.11
04,29,13,12,35,238,145,93,0.11
04,29,13,12,43,242,146,96,0.10
04,29,13,24,06,250,157,93,0.11
04,29,13,24,14,256,163,93,0.11
04,29,13,24,20,268,167,101,0.10
04,29,13,24,28,279,171,108,0.09
04,29,13,27,22,288,171,117,0.09
04,29,13,27,26,293,171,122,0.08
04,29,13,27,30,299,171,128,0.08
04,29,13,27,33,305,171,134,0.07
04,29,13,27,35,307,171,136,0.07
04,29,13,27,37,311,171,140,0.07
04,29,14,02,15,325,182,143,0.07
04,29,14,02,48,329,182,147,0.07
04,29,14,02,55,337,182,155,0.06
04,29,14,05,42,339,182,157,0.06
04,29,14,05,48,345,182,163,0.06
04,29,14,06,10,347,182,165,0.06
04,29,14,06,27,356,182,174,0.06
04,29,14,06,29,359,182,177,0.06
04,29,14,06,32,363,182,181,0.06
04,29,14,06,34,366,182,184,0.05
04,29,14,06,36,369,182,187,0.05
04,29,14,06,38,371,182,189,0.05
04,29,14,07,03,486,182,304,0.03
04,29,14,07,46,490,182,308,0.03
04,29,14,10,03,498,182,316,0.03
04,29,14,10,11,523,182,341,0.03
04,29,14,10,31,524,182,342,0.03
04,29,14,10,33,525,182,343,0.03
04,29,14,10,36,526,182,344,0.03
04,29,14,10,38,527,182,345,0.03
04,29,14,10,39,528,182,346,0.03
04,29,14,10,42,534,182,352,0.03
04,29,14,10,44,536,182,354,0.03
04,29,14,16,58,548,182,366,0.03
04,29,14,17,09,568,182,386,0.03
